1.jpg 1814FHL 1814FHL 7 True 100.0 Si 1 1.0 8 1.0 1 1.0 4 1.0 F 1.0 H 1.0 L 1.0 50.065470457077026
2.jpg 4027GPF 4027GPF 7 True 100.0 Si 4 1.0 0 1.0 2 1.0 7 1.0 G 1.0 P 1.0 F 1.0 50.07232737541199
3.jpg 9507CCR 9507CCR 7 True 100.0 Si 9 1.0 5 1.0 0 1.0 7 1.0 C 1.0 C 1.0 R 1.0 50.114689111709595
4.jpg 3972KMC 3972KWC 7 True 99.82552857142856 Si 3 1.0 9 1.0 7 1.0 2 1.0 K 1.0 M 0.987787 C 1.0 50.09316563606262
5.jpg 3671JDC 3671JDC 7 True 93.16798571428572 Si 3 1.0 6 1.0 7 1.0 1 1.0 J 1.0 D 0.521759 C 1.0 50.11484098434448
6.jpg 6S94KVZ 6594KVZ 7 False 100.0 Si 6 1.0 S 1.0 9 1.0 4 1.0 K 1.0 V 1.0 Z 1.0 50.11248302459717
7.jpg 1296BZL 1296BZL 7 True 100.0 Si 1 1.0 2 1.0 9 1.0 6 1.0 B 1.0 Z 1.0 L 1.0 50.078351736068726
8.jpg 7819HBW 7819HBM 7 True 100.0 Si 7 1.0 8 1.0 1 1.0 9 1.0 H 1.0 B 1.0 W 1.0 50.08607816696167
9.jpg 3843GHJ 3843GHJ 7 True 100.0 Si 3 1.0 8 1.0 4 1.0 3 1.0 G 1.0 H 1.0 J 1.0 50.09768891334534
10.jpg 0S08KVJ1 0508KVJ 8 False 100.0 Si 0 1.0 S 1.0 0 1.0 8 1.0 K 1.0 V 1.0 J 1.0 1 1.0 164.80477666854858
11.jpg 4802DFP 4802DFP 7 True 98.30014285714286 Si 4 1.0 8 1.0 0 1.0 2 1.0 D 0.88101 F 1.0 P 1.0 50.11095833778381
12.jpg S49SJGG 5495JGG 7 False 96.36865714285715 Si S 0.999754 4 1.0 9 1.0 S 0.746052 J 1.0 G 1.0 G 1.0 100.26080369949341
13.jpg 4S47CFN 4547CFN 7 False 99.96 Si 4 1.0 S 0.9972 4 1.0 7 1.0 C 1.0 F 1.0 N 1.0 50.1168167591095
14.jpg 1183GCK 1183GCW 7 True 99.99982857142857 Si 1 1.0 1 1.0 8 1.0 3 1.0 G 1.0 C 1.0 K 0.999988 50.09289002418518
15.jpg 6116GZG 6116GZG 7 True 100.0 Si 6 1.0 1 1.0 1 1.0 6 1.0 G 1.0 Z 1.0 G 1.0 50.10066318511963
16.jpg 3963JCK 3963JCK 7 True 100.0 Si 3 1.0 9 1.0 6 1.0 3 1.0 J 1.0 C 1.0 K 1.0 50.11058449745178
17.jpg 7616GF0 7616GFD 7 True 99.88977142857142 Si 7 1.0 6 1.0 1 1.0 6 1.0 G 1.0 F 1.0 0 0.992284 50.100478172302246
18.jpg 8423LG2 8423LGZ 7 False 99.8117857142857 Si 8 1.0 4 1.0 2 1.0 3 1.0 L 1.0 G 1.0 2 0.986825 50.0770468711853
19.jpg 7747DZ0 7747DZD 7 True 91.84718571428571 Si 7 1.0 7 1.0 4 1.0 7 1.0 D 0.660113 Z 1.0 0 0.76919 100.26315212249756
20.jpg 91S3GRY 9193GRY 7 False 100.0 Si 9 1.0 1 1.0 S 1.0 3 1.0 G 1.0 R 1.0 Y 1.0 50.08833384513855
21.jpg 3S39DSX 3539DSX 7 False 100.0 Si 3 1.0 S 1.0 3 1.0 9 1.0 D 1.0 S 1.0 X 1.0 50.110093116760254
22.jpg 7770KDJ 7770KDJ 7 True 100.0 Si 7 1.0 7 1.0 7 1.0 0 1.0 K 1.0 D 1.0 J 1.0 50.098424673080444
23.jpg 8461F0W 8461FDM 7 True 99.90047142857144 Si 8 1.0 4 1.0 6 1.0 1 1.0 F 1.0 0 0.993056 W 0.999977 50.08210110664368
24.jpg P24S2LSZ 2452LSZ 8 False 99.90695000000001 Si P 0.992556 2 1.0 4 1.0 S 1.0 2 1.0 L 1.0 S 1.0 Z 1.0 56.8613600730896
25.jpg 0WI50HZ 0450HZB 7 False 99.99968571428572 Si 0 1.0 W 1.0 I 0.999978 5 1.0 0 1.0 H 1.0 Z 1.0 49.74379539489746
26.jpg 73L7LNT 7347LMT 7 False 99.95578571428571 Si 7 1.0 3 1.0 L 0.997927 7 1.0 L 1.0 N 0.998978 T 1.0 49.735453367233276
27.jpg BA2044N BA2044W 7 True 98.26784285714287 Si B 1.0 A 1.0 2 1.0 0 1.0 4 1.0 4 1.0 N 0.878749 49.74298167228699
28.jpg 1984HNG 1984HWG 7 True 99.25309999999999 Si 1 1.0 9 1.0 8 1.0 4 1.0 H 1.0 N 0.947717 G 1.0 49.74276638031006
29.jpg 19267GPK 9267GPK 8 False 99.64413750000001 Si 1 0.971531 9 1.0 2 1.0 6 1.0 7 1.0 G 1.0 P 1.0 K 1.0 56.895183801651
